date, pm25, pm10, no2, co
2022/3/15, 99, 63, 23, 5
2022/3/16, 127, 51, 17, 4
2022/3/17, 104, 55, 24, 5
2022/3/18, 103, 63, 22, 5
2022/3/19, 130, 68, 23, 7
2022/3/20, 139, 68, 29, 7
2022/3/21, 136, 75, 30, 8
2022/3/22, 139, 64, 27, 6
2022/3/23, 125, 55, 18, 5
2022/3/24, 111, , , 
2022/3/27, 42, 29, 11, 
2022/3/28, 67, 41, 17, 
2022/3/29, 89, 42, 15, 
2022/3/30, 99, 21, 16, 
2022/3/31, 62, 10, 14, 
2021/10/1, 48, 18, 6, 2
2021/10/2, 55, 19, 6, 2
2021/10/3, 54, 21, 12, 2
2021/10/4, 54, 29, 11, 3
2021/10/5, 70, 32, 16, 3
2021/10/6, 71, 38, 12, 3
2021/10/7, 70, 42, 17, 4
2021/10/8, 77, 42, 17, 5
2021/10/9, 97, 52, 17, 5
2021/10/10, 114, 55, 20, 6
2021/10/11, 129, 40, 16, 5
2021/10/12, 110, 28, 14, 4
2021/10/13, 79, 35, 15, 4
2021/10/14, 96, 23, 10, 3
2021/10/15, 67, 20, 13, 3
2021/10/16, 57, 29, 12, 4
2021/10/17, 82, 35, 14, 4
2021/10/18, 96, 20, 11, 3
2021/10/19, 59, 27, 5, 2
2021/10/20, 58, 26, 6, 2
2021/10/21, 60, 12, 15, 3
2021/10/22, 26, 11, 9, 2
2021/10/23, 27, 27, 11, 4
2021/10/24, 78, 29, 14, 5
2021/10/25, 76, 39, 20, 7
2021/10/26, 97, 26, 18, 6
2021/10/27, 73, 31, 20, 6
2021/10/28, 88, 33, 25, 8
2021/10/29, 91, 28, 13, 4
2021/10/30, 82, 20, 11, 3
2021/10/31, 65, 28, 9, 3
2021/11/1, 83, 46, 21, 6
2021/11/2, 124, 22, 9, 3
2021/11/3, 65, 18, 11, 3
2021/11/4, 50, 25, 16, 4
2021/11/5, 61, 33, 14, 4
2021/11/6, 83, 29, 8, 3
2021/11/7, 80, 20, 14, 3
2021/11/8, 56, 35, 18, 6
2021/11/9, 89, 32, 11, 5
2021/11/10, 83, 22, 7, 2
2021/11/11, 65, 47, 14, 5
2021/11/12, 124, 56, 16, 7
2021/11/13, 135, 50, 13, 6
2021/11/14, 132, 49, 14, 6
2021/11/15, 127, 58, 18, 8
2021/11/16, 139, 63, 17, 9
2021/11/17, 142, 28, 14, 4
2021/11/18, 77, 14, 11, 3
2021/11/19, 44, 15, 8, 2
2021/11/20, 49, 18, 6, 2
2021/11/21, 57, 29, 16, 4
2021/11/22, 81, 23, 14, 3
2021/11/23, 62, 30, 16, 3
2021/11/24, 78, 29, 10, 3
2021/11/25, 78, 50, 22, 7
2021/11/26, 122, 22, 12, 3
2021/11/27, 64, 46, 15, 7
2021/11/28, 121, 24, 12, 4
2021/11/29, 70, 17, 10, 2
2021/11/30, 51, 12, 12, 2
2021/12/1, 38, 22, 12, 3
2021/12/2, 63, 26, 16, 3
2021/12/3, 66, 20, 7, 3
2021/12/4, 58, 28, 8, 4
2021/12/5, 81, 49, 15, 8
2021/12/6, 131, 34, 11, 4
2021/12/7, 94, 39, 14, 4
2021/12/8, 96, 39, 15, 5
2021/12/9, 100, 61, 19, 10
2021/12/10, 148, 57, 17, 9
2021/12/11, 150, 46, 11, 5
2021/12/12, 125, 33, 14, 4
2021/12/13, 89, 41, 16, 5
2021/12/14, 108, 60, 17, 8
2021/12/15, 154, 34, 15, 4
2021/12/16, 95, 19, 6, 3
2021/12/17, 55, 21, , 3
2021/12/18, 59, 13, , 2
2021/12/19, 40, 12, , 3
2021/12/20, 39, 41, 29, 6
2021/12/21, 99, 47, 23, 5
2021/12/22, 124, 47, 14, 5
2021/12/23, 123, , , 
2021/12/26, 209, 70, 28, 9
2021/12/27, 160, 31, 14, 4
2021/12/28, 89, 60, 25, 10
2021/12/29, 143, 38, 13, 7
2021/12/30, 98, 14, 6, 4
2021/12/31, 43, 12, 2, 2
2022/1/1, 39, 15, 2, 2
2022/1/2, 48, 13, 8, 2
2021/7/1, 45, 17, 11, 2
2021/7/2, 44, 14, 6, 1
2021/7/3, 44, 17, 6, 2
2021/7/4, 52, 19, 12, 2
2021/7/5, 51, 23, 12, 2
2021/7/6, 58, 27, 10, 2
2021/7/7, 64, 23, 12, 2
2021/7/8, 54, 24, 6, 2
2021/7/9, 52, 11, 6, 1
2021/7/10, 30, 18, 6, 1
2021/7/11, 49, 20, 11, 2
2021/7/12, 52, 21, 5, 2
2021/7/13, 54, 32, 6, 2
2021/7/14, 67, 28, 13, 2
2021/7/15, 67, 21, 14, 2
2021/7/16, 55, 22, 8, 2
2021/7/17, 54, 22, 4, 2
2021/7/18, 62, 22, 10, 2
2021/7/19, 55, 19, 11, 2
2021/7/20, 50, 14, 9, 1
2021/7/21, 38, 15, 10, 1
2021/7/22, 39, 20, 16, 2
2021/7/23, 49, 16, 5, 2
2021/7/24, 44, 16, 4, 2
2021/7/25, 46, 23, 9, 2
2021/7/26, 59, 22, 11, 2
2021/7/27, 55, 20, 8, 2
2021/7/28, 45, 16, 11, 2
2021/7/29, 45, 18, 13, 3
2021/7/30, 44, 17, 6, 2
2021/7/31, 48, 12, 3, 2
2021/8/1, 35, 13, 11, 2
2021/8/2, 34, 10, 8, 1
2021/8/3, 25, 10, 10, 2
2021/8/4, 25, 20, 12, 3
2021/8/5, 60, 6, 10, 2
2021/8/6, 15, 11, 7, 2
2021/8/7, 27, 8, 8, 2
2021/8/8, 18, 11, 12, 2
2021/8/9, 27, 18, 8, 3
2021/8/10, 46, 13, 12, 2
2021/8/11, 35, 18, 14, 2
2021/8/12, 46, 19, 10, 2
2021/8/13, 46, 18, 8, 2
2021/8/14, 48, 18, 8, 2
2021/8/15, 50, 17, 9, 2
2021/8/16, 43, 12, 11, 2
2021/8/17, 32, 14, 11, 2
2021/8/18, 40, 13, 12, 3
2021/8/19, 33, 17, 12, 3
2021/8/20, 46, 19, 10, 2
2021/8/21, 52, 16, 8, 2
2021/8/22, 48, 15, 12, 3
2021/8/23, 48, 6, 10, 2
2021/8/24, 15, 14, 12, 3
2021/8/25, 39, 13, 9, 3
2021/8/26, 39, 11, 10, 2
2021/8/27, 31, 13, 8, 3
2021/8/28, 38, 14, 10, 3
2021/8/29, 44, 9, 12, 3
2021/8/30, 28, 11, 9, 2
2021/8/31, 34, 12, 10, 2
2021/9/1, 39, 12, 12, 3
2021/9/2, 33, 18, 14, 3
2021/9/3, 52, 20, 13, 3
2021/9/4, 56, 14, 12, 3
2021/9/5, 38, 19, 15, 3
2021/9/6, 46, 20, 12, 3
2021/9/7, 54, 24, 13, 3
2021/9/8, 61, 22, 11, 3
2021/9/9, 57, 27, 14, 3
2021/9/10, 67, 27, 12, 3
2021/9/11, 67, 26, 10, 3
2021/9/12, 70, 26, 15, 4
2021/9/13, 73, 29, 16, 3
2021/9/14, 74, 28, 11, 4
2021/9/15, 73, 26, 9, 3
2021/9/16, 68, 20, 11, 4
2021/9/17, 59, 11, 6, 3
2021/9/18, 35, 9, 5, 2
2021/9/19, 27, 9, 9, 2
2021/9/20, 26, 15, 12, 2
2021/9/21, 45, 15, 11, 3
2021/9/22, 44, 19, 10, 3
2021/9/23, 55, 12, 11, 2
2021/9/24, 28, 15, 7, 3
2021/9/25, 45, 22, 10, 4
2021/9/26, 64, 19, 12, 3
2021/9/27, 52, 19, 12, 4
2021/9/28, 47, 25, 10, 3
2021/9/29, 64, 17, 12, 3
2021/9/30, 51, 15, 12, 3
2021/4/1, 87, 31, 13, 3
2021/4/2, 67, 35, 6, 3
2021/4/3, 92, 22, 4, 2
2021/4/4, 63, 23, 1, 2
2021/4/5, 50, 21, 12, 2
2021/4/6, 56, 37, 11, 3
2021/4/7, 80, 25, 9, 2
2021/4/8, 62, 25, 6, 2
2021/4/9, 56, 22, 3, 1
2021/4/10, 46, 24, 3, 1
2021/4/11, 44, 35, 11, 2
2021/4/12, 59, 22, 10, 2
2021/4/13, 63, 12, 10, 2
2021/4/14, 39, 19, 13, 3
2021/4/15, 60, 19, 14, 3
2021/4/16, 60, 29, 11, 4
2021/4/17, 80, 45, 14, 6
2021/4/18, 105, 50, 20, 7
2021/4/19, 119, 41, 17, 5
2021/4/20, 91, 37, 10, 3
2021/4/21, 79, 33, 11, 3
2021/4/22, 78, 29, 11, 2
2021/4/23, 64, 28, 10, 3
2021/4/24, 66, 30, 8, 3
2021/4/25, 74, 34, 15, 3
2021/4/26, 64, 62, 21, 5
2021/4/27, 109, 59, 21, 4
2021/4/28, 102, 47, 8, 3
2021/4/29, 81, 31, 15, 3
2021/4/30, 74, 42, 10, 3
2021/5/1, 103, 26, 4, 2
2021/5/2, 63, 14, 6, 2
2021/5/3, 39, 33, 6, 2
2021/5/4, 52, 29, 3, 2
2021/5/5, 33, 17, 17, 2
2021/5/6, 30, 19, 9, 2
2021/5/7, 31, 32, 10, 3
2021/5/8, 78, 26, 2, 2
2021/5/9, 68, 45, 9, 1
2021/5/10, 79, 73, 19, 3
2021/5/11, 155, , 16, 2
2021/5/28, 39, 16, 10, 2
2021/5/29, 51, 14, 6, 1
2021/5/30, 43, 23, 16, 2
2021/5/31, 47, 31, 19, 3
2021/6/1, 54, 35, 20, 3
2021/6/2, 57, 27, 11, 2
2021/6/3, 53, 29, 15, 2
2021/6/4, 50, 21, 11, 2
2021/6/5, 55, 23, 10, 2
2021/6/6, 56, 26, 17, 2
2021/6/7, 53, 29, 16, 2
2021/6/8, 60, 26, 15, 2
2021/6/9, 59, 22, 16, 2
2021/6/10, 51, 21, 13, 2
2021/6/11, 47, 20, 10, 1
2021/6/12, 50, 12, 3, 1
2021/6/13, 26, 12, 11, 1
2021/6/14, 21, 19, 17, 3
2021/6/15, 35, 25, 18, 4
2021/6/16, 52, 29, 15, 3
2021/6/17, 57, 27, 15, 3
2021/6/18, 51, 25, 10, 2
2021/6/19, 54, 20, 6, 2
2021/6/20, 51, 26, 10, 2
2021/6/21, 53, 22, 5, 2
2021/6/22, 44, 31, 12, 2
2021/6/23, 76, 39, 9, 2
2021/6/24, 71, 17, 13, 2
2021/6/25, 40, 20, 6, 1
2021/6/26, 60, 18, 8, 2
2021/6/27, 51, 20, 13, 2
2021/6/28, 46, 19, 10, 2
2021/6/29, 44, 24, 10, 2
2021/6/30, 63, 16, 12, 2
2021/1/4, 134, 19, 14, 6
2021/1/5, 55, 22, 8, 4
2021/1/6, 64, 32, 17, 6
2021/1/7, 87, 45, 16, 7
2021/1/8, 107, 37, 11, 5
2021/1/9, 100, 29, 8, 3
2021/1/10, 72, 43, 16, 6
2021/1/11, 98, 34, 8, 4
2021/1/12, 87, 26, 15, 3
2021/1/13, 73, 29, 15, 4
2021/1/14, 80, 28, 14, 4
2021/1/15, 76, 29, 9, 3
2021/1/16, 81, 42, 7, 4
2021/1/17, 112, 63, 15, 7
2021/1/18, 147, 47, 9, 5
2021/1/19, 121, 29, 6, 4
2021/1/20, 83, 23, 5, 3
2021/1/21, 67, 20, 4, 3
2021/1/22, 59, 19, 5, 3
2021/1/23, 52, 29, 7, 5
2021/1/24, 78, 28, 14, 4
2021/1/25, 79, 27, 13, 3
2021/1/26, 76, 35, 15, 3
2021/1/27, 93, 29, 11, 3
2021/1/28, 80, 39, 20, 6
2021/1/29, 93, 48, 15, 6
2021/1/30, 123, 52, 14, 8
2021/1/31, 114, 83, 24, 14
2021/2/1, 177, 25, 11, 4
2021/2/2, 75, 14, 4, 3
2021/2/3, 46, 20, 10, 4
2021/2/4, 60, 43, 19, 5
2021/2/5, 89, 36, 12, 4
2021/2/6, 80, 32, 4, 3
2021/2/7, 80, 30, 13, 5
2021/2/8, 82, 60, 22, 7
2021/2/9, 144, 64, 22, 7
2021/2/10, 154, 56, 14, 5
2021/2/11, 139, 30, 14, 3
2021/2/12, 84, 38, 11, 3
2021/2/13, 102, 29, 6, 2
2021/2/14, 80, 52, 19, 6
2021/2/15, 130, 52, 17, 9
2021/2/16, 118, 33, 11, 4
2021/2/17, 90, 54, 27, 8
2021/2/18, 134, 49, 20, 7
2021/2/19, 127, 50, 19, 7
2021/2/20, 125, 23, 4, 3
2021/2/21, 70, 28, 11, 4
2021/2/22, 78, 54, 23, 8
2021/2/23, 132, 65, 24, 9
2021/2/24, 147, 56, 14, 5
2021/2/25, 133, 50, 14, 4
2021/2/26, 116, 19, 9, 2
2021/2/27, 55, 28, 6, 2
2021/2/28, 74, 35, 15, 3
2021/3/1, 87, 48, 18, 4
2021/3/2, 107, 59, 19, 6
2021/3/3, 131, 58, 15, 4
2021/3/4, 125, 28, 14, 3
2021/3/5, 70, 32, 10, 3
2021/3/6, 76, 31, 8, 3
2021/3/7, 74, 30, 16, 3
2021/3/8, 65, 46, 20, 5
2021/3/9, 92, 49, 21, 5
2021/3/10, 94, 62, 11, 4
2021/3/11, 108, 27, 11, 3
2021/3/12, 73, 24, 4, 3
2021/3/13, 60, 24, 7, 2
2021/3/14, 61, 39, 21, 4
2021/3/15, 81, 42, 17, 4
2021/3/16, 95, 33, 14, 3
2021/3/17, 79, 35, 16, 4
2021/3/18, 82, 56, 21, 7
2021/3/19, 125, 46, 12, 4
2021/3/20, 103, 40, 7, 4
2021/3/21, 100, 30, 13, 3
2021/3/22, 70, 38, 14, 3
2021/3/23, 88, 45, 22, 5
2021/3/24, 86, 68, 18, 7
2021/3/25, 149, 74, 22, 6
2021/3/26, 152, 67, 12, 6
2021/3/27, 123, 23, 7, 3
2021/3/28, 59, 38, 12, 3
2021/3/29, 90, 33, 11, 4
2021/3/30, 88, 50, 15, 4
2021/3/31, 110, 44, 14, 3
2020/10/15, 160, 27, 13, 6
2020/10/16, 77, 17, 8, 4
2020/10/17, 53, 14, 6, 2
2020/10/18, 43, 22, 15, 3
2020/10/19, 59, 23, 7, 3
2020/10/20, 62, 19, 6, 2
2020/10/21, 49, 24, 8, 2
2020/10/22, 57, 24, 5, 2
2020/10/23, 63, 51, 14, 7
2020/10/24, 126, 37, 8, 5
2020/10/25, 97, 23, 7, 3
2020/10/26, 64, 27, 10, 3
2020/10/27, 69, 52, 16, 8
2020/10/28, 119, 28, 12, 4
2020/10/29, 74, 27, 14, 3
2020/10/30, 69, 26, 11, 4
2020/10/31, 71, 48, 9, 6
2020/11/1, 117, 14, 5, 3
2020/11/2, 43, 23, 9, 4
2020/11/3, 55, 23, 13, 4
2020/11/4, 65, 33, 15, 4
2020/11/5, 85, 30, 15, 4
2020/11/6, 77, 31, 8, 4
2020/11/7, 82, 37, 9, 4
2020/11/8, 93, 47, 14, 7
2020/11/9, 113, 31, 10, 4
2020/11/10, 81, 21, 5, 4
2020/11/11, 62, 17, 8, 4
2020/11/12, 47, 24, 7, 3
2020/11/13, 67, 26, 5, 3
2020/11/14, 72, 14, 3, 3
2020/11/15, 44, 27, 8, 3
2020/11/16, 71, 53, 15, 6
2020/11/17, 127, 40, 14, 5
2020/11/18, 102, 17, 4, 2
2020/11/19, 52, 25, 13, 3
2020/11/20, 66, 38, 12, 3
2020/11/21, 100, 22, 6, 2
2020/11/22, 63, 28, 9, 3
2020/11/23, 78, 31, 15, 4
2020/11/24, 80, 30, 7, 3
2020/11/25, 82, 40, 14, 6
2020/11/26, 104, 31, 11, 5
2020/11/27, 87, 34, 14, 4
2020/11/28, 93, 33, 8, 4
2020/11/29, 93, 41, 10, 5
2020/11/30, 110, 31, 9, 4
2020/12/1, 82, 41, 13, 5
2020/12/2, 102, 48, 16, 7
2020/12/3, 124, 50, 19, 8
2020/12/4, 126, 44, 17, 6
2020/12/5, 113, 23, 7, 3
2020/12/6, 66, 29, 10, 4
2020/12/7, 75, 40, 12, 5
2020/12/8, 98, 39, 10, 5
2020/12/9, 98, 36, 12, 6
2020/12/10, 95, 47, 12, 9
2020/12/11, 124, 23, 8, 5
2020/12/12, 67, 23, 7, 4
2020/12/13, 68, 24, 11, 5
2020/12/14, 71, 29, 13, 7
2020/12/15, 83, 32, 12, 6
2020/12/16, 88, 65, 18, 14
2020/12/17, 160, 43, 12, 6
2020/12/18, 113, 34, 12, 6
2020/12/19, 93, 55, 12, 9
2020/12/20, 135, 51, 18, 10
2020/12/21, 128, 18, 5, 3
2020/12/22, 56, 15, 8, 5
2020/12/23, 47, 15, 5, 4
2020/12/24, 48, 15, 5, 2
2020/12/25, 47, 20, 6, 2
2020/12/26, 60, 28, 8, 4
2020/12/27, 78, 16, 6, 3
2020/12/28, 47, 9, 4, 2
2020/12/29, 20, 28, 18, 6
2020/12/30, 75, 45, 14, 7
2020/12/31, 120, 26, 6, 4
2021/1/1, 76, 28, 10, 6
2021/1/2, 73, 52, 14, 8
2021/1/3, 136, 51, 19, 9
2020/7/1, 25, 10, 15, 
2020/7/2, 37, 12, 12, 
2020/7/3, 44, 12, 8, 
2020/7/4, 45, 10, 7, 
2020/7/5, 37, 8, 7, 
2020/7/6, 31, 6, 9, 
2020/7/7, 18, 6, 10, 
2020/7/8, 23, 8, 9, 
2020/7/9, 26, 9, 4, 
2020/7/10, 19, 9, 6, 
2020/7/11, 21, 8, 5, 
2020/7/12, 20, 7, 10, 
2020/7/13, 16, 10, 12, 
2020/7/14, 25, 8, 7, 
2020/7/15, 20, 11, 11, 
2020/7/16, 31, 17, 10, 
2020/7/17, 53, 33, 11, 
2020/7/18, 55, , 6, 
2020/7/23, 48, 20, 12, 
2020/7/24, 47, 23, 14, 
2020/7/25, 59, 22, 7, 
2020/7/26, 57, 18, 16, 
2020/7/27, 55, 22, 7, 
2020/7/28, 60, 24, 22, 
2020/7/29, 59, 29, 22, 
2020/7/30, 69, 25, 23, 
2020/7/31, 52, 17, 13, 
2020/8/1, 46, 15, 7, 
2020/8/2, 39, 18, 12, 
2020/8/3, 41, 24, 15, 
2020/8/4, 64, 14, 18, 
2020/8/5, 44, 35, 26, 
2020/8/6, 86, 44, 32, 
2020/8/7, 100, 45, 22, 
2020/8/8, 108, 28, 12, 
2020/8/9, 72, 23, 20, 
2020/8/10, 64, 25, 23, 
2020/8/11, 64, 22, 23, 
2020/8/12, 52, 22, 20, 
2020/8/13, 50, 25, 18, 
2020/8/14, 62, 21, 8, 
2020/8/15, 49, 23, 12, 
2020/8/16, 57, 23, 11, 
2020/8/17, 65, 20, 13, 
2020/8/18, 60, 33, 18, 
2020/8/19, 89, 32, 21, 
2020/8/20, 83, 27, 16, 
2020/8/21, 73, 26, 10, 
2020/8/22, 72, 16, 10, 
2020/8/23, 50, 19, 18, 
2020/8/24, 52, 8, 19, 
2020/8/25, 55, , 10, 
2020/8/28, 24, , 12, 
2020/6/21, 53, 16, 10, 
2020/6/22, 56, 11, 12, 
2020/6/23, 43, 15, 12, 
2020/6/24, 54, 16, 13, 
2020/6/25, 57, 11, 10, 
2020/6/26, 41, 12, 3, 
2020/6/27, 47, 11, 5, 
2020/6/28, 43, 11, 8, 
2020/6/29, 40, 11, 13, 
2020/6/30, 39, 7, 8, 
2024/1/6, , 14, 8, 
2023/11/7, , 22, 13, 
2023/12/19, , 25, 14, 
2022/10/13, , 24, 16, 
2022/11/11, , 24, , 
2022/3/26, , 19, 10, 
2021/12/25, , 99, 26, 12
2021/5/27, , 21, 16, 2
2020/10/14, , 67, 16, 12
2020/7/22, , 24, 16, 
2020/8/27, , 11, 15, 
2020/6/20, , 13, 2, 
2023/12/1, , , 17, 
2023/12/2, , , 10, 
2023/12/3, , , 13, 
2023/12/4, , , 18, 
2023/12/5, , , 25, 
2023/12/6, , , 21, 
2023/12/7, , , 21, 
2023/12/8, , , 15, 
2023/12/9, , , 6, 
2023/12/10, , , 6, 
2023/12/11, , , 12, 
2023/12/12, , , 11, 
2023/12/13, , , 14, 
2023/12/14, , , 10, 
2023/12/18, , , 1, 
2022/10/1, , , 7, 
2022/10/2, , , 7, 
2022/10/3, , , 10, 
2022/10/4, , , 11, 
2022/10/5, , , 9, 
2022/10/6, , , 14, 
2022/10/7, , , 13, 
2022/10/8, , , 12, 
2022/10/9, , , 10, 
2022/10/10, , , 12, 
2022/10/11, , , 15, 
2022/10/12, , , 17, 
2022/8/25, , , 24, 
2022/8/26, , , 15, 
2022/8/27, , , 11, 
2022/8/28, , , 15, 
2022/8/29, , , 14, 
2022/8/30, , , 16, 
2022/8/31, , , 17, 
2022/9/1, , , 19, 
2022/9/2, , , 10, 
2022/9/3, , , 10, 
2022/9/4, , , 19, 
2022/9/5, , , 18, 
2022/9/6, , , 18, 
2022/9/7, , , 16, 
2022/9/8, , , 14, 
2022/9/9, , , 10, 
2022/9/10, , , 8, 
2022/9/11, , , 12, 
2022/9/12, , , 13, 
2022/9/13, , , 8, 
2022/9/14, , , 11, 
2022/9/15, , , 15, 
2022/9/16, , , 12, 
2022/9/17, , , 7, 
2022/9/18, , , 11, 
2022/9/19, , , 12, 
2022/9/20, , , 11, 
2022/9/21, , , 11, 
2022/9/22, , , 12, 
2022/9/23, , , 9, 
2022/9/24, , , 6, 
2022/9/25, , , 12, 
2022/9/26, , , 11, 
2022/9/27, , , 9, 
2022/9/28, , , 16, 
2022/9/29, , , 12, 
2022/9/30, , , 10, 
2021/5/12, , , 9, 2
2021/5/13, , , 9, 2
2021/5/14, , , 6, 2
2021/5/16, , , 10, 1
2021/5/17, , , 11, 1
2021/5/18, , , 14, 2
2021/5/19, , , 15, 2
2021/5/20, , , 10, 1
2021/5/21, , , 6, 1
2021/5/22, , , 5, 1
2021/5/23, , , 9, 2
2021/5/24, , , 14, 2
2021/5/25, , , 9, 2
2021/5/26, , , 12, 1
2020/7/19, , , 7, 
2020/7/20, , , 12, 
2020/7/21, , , 13, 
2020/8/26, , , 18, 
2020/8/29, , , 8, 
2020/8/30, , , 16, 
2020/8/31, , , 15, 
2020/9/1, , , 16, 
2020/9/2, , , 17, 
2020/9/3, , , 20, 
2020/9/4, , , 11, 
2020/9/5, , , 10, 
2020/9/6, , , 22, 3
2020/9/7, , , 16, 3
2020/9/8, , , 15, 2
2020/9/9, , , 21, 2
2020/9/10, , , 25, 4
2020/9/11, , , 14, 3
2020/9/12, , , 13, 2
2020/9/13, , , 20, 3
2020/9/14, , , 27, 4
2020/9/15, , , 15, 2
2020/9/16, , , 19, 2
2020/9/17, , , 20, 2
2020/9/18, , , 20, 3
2020/9/19, , , 16, 3
2020/9/20, , , 21, 4
2020/9/21, , , 20, 3
2020/9/22, , , 16, 2
2020/9/23, , , 19, 3
2020/9/24, , , 8, 1
2020/9/25, , , 9, 3
2020/9/26, , , 7, 2
2020/9/27, , , 14, 3
2020/9/28, , , 13, 3
2020/9/29, , , 10, 3
2023/12/15, , , , 
2023/12/16, , , , 
2023/12/17, , , , 
2021/5/15, , , , 1
