date, pm10
2017/3/27, 64
2017/3/28, 64
2017/3/29, 46
2017/3/30, 37
2017/3/31, 40
2016/10/1, 31
2016/10/2, 16
2016/10/3, 12
2016/10/4, 9
2016/10/5, 9
2016/10/6, 11
2016/10/7, 45
2016/10/8, 30
2016/10/9, 24
2016/10/10, 23
2016/10/11, 25
2016/10/12, 12
2016/10/13, 25
2016/10/14, 48
2016/10/15, 39
2016/10/16, 51
2016/10/17, 32
2016/10/18, 29
2016/10/19, 43
2016/10/20, 60
2016/10/21, 54
2016/10/22, 48
2016/10/23, 53
2016/10/24, 57
2016/10/25, 35
2016/10/26, 41
2016/10/27, 69
2016/10/28, 51
2016/10/29, 14
2016/10/30, 16
2016/10/31, 35
2016/11/1, 35
2016/11/2, 19
2016/11/3, 31
2016/11/4, 54
2016/11/5, 53
2016/11/6, 41
2016/11/7, 33
2016/11/8, 55
2016/11/9, 74
2016/11/10, 60
2016/11/11, 35
2016/11/12, 32
2016/11/13, 48
2016/11/14, 67
2016/11/15, 63
2016/11/16, 40
2016/11/17, 36
2016/11/18, 59
2016/11/19, 60
2016/11/20, 71
2016/11/21, 55
2016/11/22, 84
2016/11/23, 67
2016/11/24, 49
2016/11/25, 48
2016/11/26, 54
2016/11/27, 22
2016/11/28, 15
2016/11/29, 35
2016/11/30, 48
2016/12/1, 19
2016/12/2, 17
2016/12/3, 71
2016/12/4, 123
2016/12/5, 88
2016/12/6, 55
2016/12/7, 52
2016/12/8, 45
2016/12/9, 33
2016/12/10, 37
2016/12/11, 26
2016/12/12, 39
2016/12/13, 85
2016/12/14, 34
2016/12/15, 32
2016/12/16, 83
2016/12/17, 75
2016/12/18, 62
2016/12/19, 118
2016/12/20, 137
2016/12/21, 76
2016/12/22, 34
2016/12/23, 37
2016/12/24, 32
2016/12/25, 21
2016/12/26, 18
2016/12/27, 18
2016/12/28, 24
2016/12/29, 107
2016/12/30, 144
2016/12/31, 172
2017/1/1, 178
2016/7/1, 9
2016/7/2, 10
2016/7/3, 8
2016/7/4, 9
2016/7/5, 12
2016/7/6, 10
2016/7/7, 12
2016/7/8, 18
2016/7/9, 11
2016/7/10, 14
2016/7/11, 14
2016/7/12, 11
2016/7/13, 14
2016/7/14, 6
2016/7/15, 9
2016/7/16, 12
2016/7/17, 11
2016/7/18, 11
2016/7/19, 10
2016/7/20, 11
2016/7/21, 13
2016/7/22, 19
2016/7/23, 16
2016/7/24, 18
2016/7/25, 17
2016/7/26, 25
2016/7/27, 21
2016/7/28, 17
2016/7/29, 15
2016/7/30, 13
2016/7/31, 8
2016/8/1, 10
2016/8/2, 12
2016/8/3, 9
2016/8/4, 13
2016/8/5, 8
