date, pm25, pm10, no2
2020/8/26, 19, 9, 1
2020/8/27, 10, 12, 3
2020/8/28, 19, 9, 3
2020/8/29, 24, 12, 1
2020/8/30, 38, 7, 3
2020/8/31, 20, 5, 3
2020/9/1, 16, 5, 2
2020/9/2, 13, 10, 4
2020/9/3, 27, 11, 3
2020/9/4, 30, 10, 2
2020/9/5, 27, 10, 2
2020/9/6, 32, 11, 4
2020/9/7, 31, 10, 4
2020/9/8, 25, 13, 3
2020/9/9, 33, 12, 4
2020/9/10, 27, 14, 6
2020/9/11, 31, 19, 7
2020/9/12, 52, 16, 5
2020/9/13, 45, 24, 7
2020/9/14, 53, 27, 7
2020/9/15, 63, 27, 4
2020/9/16, 58, 14, 3
2020/9/17, 31, 13, 6
2020/9/18, 24, 18, 6
2020/9/19, 37, 20, 4
2020/9/20, 47, 29, 6
2020/9/21, 59, 37, 7
2020/9/22, 66, 28, 5
2020/9/23, 53, 20, 3
2020/9/24, 54, 13, 4
2020/9/25, 35, 6, 2
2020/9/26, 19, 5, 2
2020/9/27, 16, 14, 6
2020/9/28, 42, 13, 4
2020/9/29, 39, 19, 3
2020/9/30, 55, 23, 4
2020/4/1, 49, 23, 5
2020/4/2, 64, 25, 3
2020/4/3, 54, 28, 5
2020/4/4, 68, 28, 3
2020/4/5, 74, 31, 4
2020/4/6, 70, 27, 4
2020/4/7, 55, 33, 9
2020/4/8, 65, 30, 4
2020/4/9, 56, 18, 4
2020/4/10, 36, 21, 4
2020/4/11, 49, 24, 2
2020/4/12, 59, 17, 2
2020/4/13, 47, 14, 3
2020/4/14, 29, 18, 3
2020/4/15, 39, 20, 4
2020/4/16, 43, 30, 7
2020/4/17, 57, 23, 4
2020/4/18, 51, 15, 2
2020/4/19, 41, 17, 3
2020/4/20, 40, 25, 5
2020/4/21, 53, 26, 6
2020/4/22, 54, 27, 7
2020/4/23, 51, 23, 4
2020/4/24, 49, 32, 2
2020/4/25, 52, 16, 3
2020/4/26, 42, 20, 5
2020/4/27, 50, 19, 3
2020/4/28, 45, 25, 4
2020/4/29, 60, 23, 3
2020/4/30, 62, 15, 3
2020/5/1, 46, 9, 2
2020/5/2, 26, 10, 2
2020/5/3, 33, 12, 3
2020/5/4, 39, 10, 2
2020/5/5, 26, 14, 3
2020/5/6, 39, 18, 4
2020/5/7, 44, 21, 8
2020/5/8, 54, 23, 7
2020/5/9, 60, 19, 4
2020/5/10, 54, 12, 3
2020/5/11, 32, 6, 2
2020/5/12, 17, 16, 4
2020/5/13, 46, 19, 4
2020/5/14, 58, 25, 5
2020/5/15, 70, 16, 4
2020/5/16, 43, 20, 4
2020/5/17, 55, 14, 5
2020/5/18, 32, 17, 4
2020/5/19, 35, 10, 3
2020/5/20, 22, 15, 4
2020/5/21, 29, 11, 4
2020/5/22, 24, 13, 3
2020/5/23, 40, 8, 1
2020/5/24, 23, 7, 2
2020/5/25, 20, 15, 3
2020/5/26, 46, 16, 4
2020/5/27, 43, 17, 4
2020/5/28, 42, 14, 3
2020/5/29, 26, 11, 2
2020/5/30, 25, 14, 2
2020/5/31, 37, 15, 3
2020/6/1, 25, 11, 3
2020/6/2, 21, 12, 3
2020/6/3, 30, 17, 4
2020/6/4, 41, 9, 2
2020/6/5, 24, 8, 2
2020/6/6, 19, 8, 1
2020/6/7, 23, 9, 3
2020/6/8, 28, 11, 3
2020/6/9, 32, 17, 3
2020/6/10, 53, 16, 2
2020/6/11, 48, 19, 2
2020/6/12, 49, 25, 3
2020/6/13, 57, 16, 1
2020/6/14, 45, 15, 2
2020/6/15, 39, 18, 4
2020/6/16, 48, 19, 4
2020/6/17, 50, 19, 2
2020/6/18, 53, 12, 2
2020/6/19, 34, 6, 1
2020/6/20, 17, 8, 1
2020/6/21, 22, 12, 2
2020/6/22, 32, 11, 2
2020/6/23, 22, 9, 3
2020/6/24, 22, 16, 3
2020/6/25, 43, 15, 3
2020/6/26, 42, 12, 1
2020/6/27, 33, 11, 2
2020/6/28, 25, 13, 2
2020/6/29, 24, 10, 2
2020/6/30, 17, 8, 2
2020/3/25, 66, 39, 7
2020/3/26, 92, 48, 8
2020/3/27, 104, 52, 6
2020/3/28, 113, 42, 3
2020/3/29, 103, 13, 3
2020/3/30, 36, 24, 4
2020/3/31, 70, 18, 4
2021/1/8, , 20, 
2021/1/9, , 31, 
2021/1/10, , 26, 
2020/3/24, , 27, 3
