date, pm10, no2, co
2014/10/28, 55, 25, 13
2014/10/29, 51, 16, 7
2014/10/30, 42, 21, 8
2014/10/31, 35, 20, 11
2014/11/1, 52, 15, 10
2014/11/2, 45, 21, 8
2014/11/3, 32, 24, 8
2014/11/4, 40, 22, 6
2014/11/5, 33, 19, 7
2014/11/6, 38, 13, 7
2014/11/7, 23, 13, 7
2014/11/8, 25, 10, 8
2014/11/9, 23, 15, 8
2014/11/10, 42, 15, 9
2014/11/11, 42, 15, 8
2014/11/12, 40, 15, 8
2014/11/13, 43, 11, 7
2014/11/14, 29, 11, 7
2014/11/15, 30, 12, 7
2014/11/16, 37, 12, 6
2014/11/17, 33, 6, 5
2014/11/18, 23, 6, 6
2014/11/19, 29, 6, 5
2014/11/20, 26, 10, 7
2014/11/21, 36, 18, 8
2014/11/22, 38, 12, 8
2014/11/23, 34, 14, 6
2014/11/24, 33, 16, 7
2014/11/25, 36, 18, 9
2014/11/26, 46, 12, 7
2014/11/27, 40, 11, 6
2014/11/28, 42, 10, 6
2014/11/29, 47, 9, 6
2014/11/30, 38, 9, 6
2014/12/1, 37, 13, 7
2014/12/2, 43, 16, 9
2014/12/3, 56, 15, 11
2014/12/4, 62, 13, 10
2014/12/5, 46, 14, 16
2014/12/6, 69, 14, 16
2014/12/7, 57, 15, 10
2014/12/8, 39, 28, 18
2014/12/9, 67, 26, 17
2014/12/10, 67, 18, 9
2014/12/11, 39, 15, 6
2014/12/12, 17, 14, 6
2014/12/13, 20, 18, 11
2014/12/14, 43, 18, 10
2014/12/15, 41, 19, 11
2014/12/16, 42, 18, 8
2014/12/17, 32, 15, 6
2014/12/18, 23, 9, 4
2014/12/19, 9, 4, 6
2014/12/20, 6, 7, 4
2014/12/21, 20, 7, 4
2014/12/22, 10, 6, 4
2014/12/23, 8, 6, 4
2014/12/24, 10, 5, 4
2014/12/25, 14, 7, 4
2014/12/26, 16, 14, 6
2014/12/27, 33, 9, 5
2014/12/28, 35, , 
2014/9/18, 50, 23, 5
2014/9/19, 45, 21, 6
2014/9/20, 43, 14, 6
2014/9/21, 25, 9, 3
2014/9/22, 11, 10, 2
2014/9/23, 11, 17, 4
2014/9/24, 23, 13, 4
2014/9/25, 28, 12, 4
2014/9/26, 15, 9, 4
2014/9/27, 18, , 
2014/9/29, 33, 19, 8
2014/9/30, 38, 15, 7
2016/4/3, , 22, 5
2016/2/14, , 15, 7
2015/11/1, , 20, 9
2015/12/2, , 11, 4
2015/12/31, , 11, 5
2014/12/31, , 8, 6
2015/3/22, , 24, 6
2014/9/17, , 29, 6
2014/9/28, , 24, 8
