date, pm10, o3, no2, so2
2022/10/4, 10, 26, 1, 2
2022/10/5, 10, 27, 4, 2
2022/10/6, 13, 26, 3, 2
2022/10/7, 13, 29, 2, 2
2022/10/8, 16, 20, 3, 2
2022/10/9, 13, 29, 1, 2
2022/10/10, 13, 24, 5, 2
2022/10/11, 16, 19, 5, 2
2022/10/12, 15, 18, 5, 2
2022/10/13, 18, 25, 2, 2
2022/10/14, 20, 29, 2, 3
2022/10/15, 20, 26, 1, 3
2022/10/16, 18, 28, 2, 3
2022/10/17, 16, 32, 3, 3
2022/10/18, 14, 20, 8, 2
2022/10/19, 9, 23, 6, 2
2022/10/20, 12, 28, 2, 4
2022/10/21, 12, 26, 3, 4
2022/10/22, 18, 24, 2, 2
2022/10/23, 9, 23, 1, 2
2022/10/24, 9, 20, 4, 3
2022/10/25, 9, 24, 4, 2
2022/10/26, 11, 20, 5, 2
2022/10/27, 13, 24, 2, 2
2022/10/28, 11, 19, 4, 2
2022/10/29, 13, 16, 5, 4
2022/10/30, 16, 16, 7, 3
2022/10/31, 20, 13, 3, 2
2022/11/1, 14, 22, 4, 5
2022/11/2, 15, 26, 3, 3
2022/11/3, 11, 28, 2, 2
2022/11/4, 11, 18, 8, 1
2022/11/5, 11, 12, 4, 
2022/11/6, 24, 20, 2, 1
2022/11/7, 10, 25, 2, 
2022/11/8, 6, 24, 1, 3
2022/11/9, 15, 18, 6, 2
2022/11/10, 16, 19, 3, 
2022/11/11, 11, 14, 7, 2
2022/11/12, 11, 16, 6, 1
2022/11/13, 21, 27, 4, 
2022/11/14, 16, 24, 7, 1
2022/11/15, 18, 11, 9, 7
2022/11/16, 26, 4, 7, 1
2022/11/17, 16, 10, 6, 1
2022/11/18, 18, 14, 6, 2
2022/11/19, 19, 12, 5, 2
2022/11/20, 21, 15, 3, 1
2022/11/21, 6, 23, 2, 1
2022/11/22, 6, 10, 10, 1
2022/11/23, 37, 4, 12, 2
2022/11/24, 38, 13, 7, 1
2022/11/25, 19, 10, 6, 1
2022/11/26, 15, 15, 5, 1
2022/11/27, 17, 22, 2, 1
2022/11/28, 8, 25, 4, 1
2022/11/29, 19, 6, 13, 2
2022/11/30, 50, 9, 6, 2
2022/12/1, 27, 9, 8, 3
2022/12/2, 34, 2, 11, 3
2022/12/3, 56, 6, 9, 2
2022/12/4, 50, 11, 9, 3
2022/12/5, 34, 1, 10, 2
2022/12/6, 15, 20, 6, 2
2022/12/7, 6, 23, 3, 1
2022/12/8, 8, 20, 8, 2
2022/12/9, 18, 5, 11, 3
2022/12/10, 22, 19, 8, 2
2022/12/11, 13, 16, 8, 7
2022/12/12, 15, 15, 8, 3
2022/12/13, 15, 20, 11, 2
2022/12/14, 26, 5, 17, 7
2022/12/15, 47, 3, 17, 9
2022/12/16, 58, 7, 14, 5
2022/12/17, 50, 24, 9, 3
2022/12/18, 33, 28, 2, 1
2022/12/19, 8, 25, 2, 2
2022/12/20, 10, 23, 3, 2
2022/12/21, 9, 22, 3, 1
2022/12/22, 7, 19, 3, 1
2022/12/23, 4, 22, 4, 3
2022/12/24, 7, 25, 2, 1
2022/12/25, 7, 23, 1, 1
2022/12/26, 9, 25, 3, 2
2022/12/27, 8, 28, 1, 1
2022/12/28, 6, 26, 1, 1
2022/12/29, 9, 25, 4, 2
2022/12/30, 11, 22, 1, 1
2022/12/31, 6, 22, 1, 1
2023/1/1, 9, 23, 1, 1
2022/9/26, 10, 25, 2, 2
2022/9/27, 8, 26, 1, 2
2022/9/28, 5, 23, 3, 2
2022/9/29, 8, 4, 7, 2
2022/9/30, 15, 20, 5, 2
2021/7/1, 7, 27, 5, 2
2021/7/2, 7, 32, 5, 1
2021/7/3, 13, 40, 4, 2
2021/7/4, 12, 41, 4, 2
2021/7/5, 12, 38, 6, 1
2021/7/6, 8, 41, 3, 2
2021/7/7, 13, 56, 5, 2
2021/7/8, 24, 31, 5, 3
