date, pm25
2017/7/27, 41
2017/7/28, 40
2017/7/29, 29
2017/7/30, 46
2017/7/31, 62
2017/8/1, 60
2017/8/2, 51
2017/8/3, 59
2017/8/4, 40
2017/8/5, 37
2017/8/6, 52
2017/8/7, 30
2017/8/8, 38
2017/8/9, 54
2017/8/10, 54
2017/8/11, 44
2017/8/12, 62
2017/8/13, 22
2017/8/14, 31
2017/8/15, 32
2017/8/16, 50
2017/8/17, 46
2017/8/18, 53
2017/8/19, 63
2017/8/20, 30
2017/8/21, 29
2017/8/22, 29
2017/8/23, 22
2017/8/24, 25
2017/8/25, 47
2017/8/26, 28
2017/8/27, 42
2017/8/28, 21
2017/8/29, 36
2017/8/30, 42
2017/8/31, 51
2017/9/1, 41
2017/9/2, 40
2017/9/3, 16
2017/9/4, 22
2017/9/5, 23
2017/9/11, 57
2017/9/12, 42
2017/9/13, 29
2017/9/14, 28
2017/9/15, 27
2017/9/16, 41
2017/9/17, 34
2017/9/18, 24
2017/9/19, 45
2017/9/20, 46
2017/9/21, 21
2017/9/22, 45
2017/9/23, 43
2017/9/24, 35
2017/9/25, 48
2017/9/26, 49
2017/9/27, 44
2017/9/28, 50
2017/9/29, 36
2017/9/30, 44
2017/4/1, 72
2017/4/2, 82
2017/4/3, 45
2017/4/4, 30
2017/4/5, 45
2017/4/6, 22
2017/4/7, 24
2017/4/8, 26
2017/4/9, 49
2017/4/10, 53
2017/4/11, 20
2017/4/12, 32
2017/4/13, 18
2017/4/14, 28
2017/4/15, 34
2017/4/16, 26
2017/4/17, 25
2017/4/18, 43
2017/4/19, 29
2017/4/20, 30
2017/4/21, 42
2017/4/22, 20
2017/4/23, 19
2017/4/24, 35
2017/4/25, 47
2017/4/26, 26
2017/4/27, 63
2017/4/28, 28
2017/4/29, 18
2017/4/30, 20
2017/5/1, 27
2017/5/2, 36
2017/5/3, 36
2017/5/4, 34
2017/5/5, 42
2017/5/6, 53
2017/5/7, 46
2017/5/8, 13
2017/5/9, 21
2017/5/10, 21
2017/5/11, 26
2017/5/12, 29
2017/5/16, 21
2017/5/17, 31
2017/5/18, 54
2017/5/19, 45
2017/5/20, 45
2017/5/21, 39
2017/5/22, 21
2017/5/23, 22
2017/5/24, 37
2017/5/25, 23
2017/5/26, 29
2017/5/27, 25
2017/5/28, 29
2017/5/29, 38
2017/5/30, 30
2017/5/31, 31
2017/6/1, 23
2017/6/2, 21
2017/6/3, 20
2017/6/4, 31
2017/6/5, 28
2017/6/6, 31
2017/6/7, 34
2017/6/8, 29
2017/6/9, 45
2017/6/10, 50
2017/6/11, 17
2017/6/12, 41
2017/6/13, 23
2017/6/14, 22
2017/6/15, 30
2017/6/16, 38
2017/6/17, 29
2017/6/18, 33
2017/6/19, 28
2017/6/20, 40
2017/6/21, 20
2017/6/22, 23
2017/6/23, 51
2017/6/24, 35
2017/6/25, 35
2017/6/26, 18
2017/6/27, 26
2017/6/28, 36
2017/6/29, 43
2017/6/30, 22
2017/1/2, 27
2017/1/3, 32
2017/1/4, 34
2017/1/5, 35
2017/1/6, 42
2017/1/7, 105
2017/1/8, 112
2017/1/9, 130
2017/1/10, 101
2017/1/11, 103
2017/1/12, 71
2017/1/13, 69
2017/1/14, 78
2017/1/15, 66
2017/1/16, 87
2017/1/17, 84
2017/1/18, 121
2017/1/19, 83
2017/1/20, 27
2017/1/21, 15
2017/1/22, 28
2017/1/23, 94
2017/1/24, 47
2017/1/25, 39
2017/1/26, 64
2017/1/27, 40
2017/1/28, 54
2017/1/29, 32
2017/1/30, 80
2017/1/31, 77
2017/2/1, 98
2017/2/2, 78
2017/2/3, 64
2017/2/4, 80
2017/2/5, 52
2017/2/6, 51
2017/2/7, 18
2017/2/8, 23
2017/2/9, 42
2017/2/10, 49
2017/2/11, 33
2017/2/12, 32
2017/2/13, 64
2017/2/14, 61
2017/2/15, 37
2017/2/16, 123
2017/2/17, 147
2017/2/18, 12
2017/2/19, 40
2017/2/20, 49
2017/2/21, 10
2017/2/22, 38
2017/2/23, 35
2017/2/24, 28
2017/2/25, 23
2017/2/26, 46
2017/2/27, 57
2017/2/28, 97
2017/3/1, 76
2017/3/2, 60
2017/3/3, 33
2017/3/4, 76
