date, pm10, o3, no2, so2, co
2020/1/5, 19, 15, 21, 2, 9
2020/1/6, 71, 11, 30, 5, 13
2020/1/7, 137, 21, 12, 6, 7
2020/1/8, 79, 9, 23, 10, 16
2020/1/9, 61, 25, 17, 15, 12
2020/1/10, 58, 25, 6, 4, 4
2020/1/11, 22, 17, 17, 4, 11
2020/1/12, 43, 17, 19, 5, 14
2020/1/13, 55, 10, 18, 6, 15
2020/1/14, 72, 16, 27, 10, 17
2020/1/15, 111, 3, 31, 11, 21
2020/1/16, 156, 16, 21, 6, 14
2020/1/17, 88, 17, 23, 9, 14
2020/1/18, 128, 11, 9, 5, 10
2020/1/19, 38, 18, 7, 2, 6
2020/1/20, 33, 24, 18, 2, 9
2020/1/21, 57, 28, 8, 3, 6
2020/1/22, 40, 25, 14, 3, 8
2020/1/23, 54, 21, 30, 7, 17
2020/1/24, 111, 20, 32, 6, 18
2020/1/25, 112, 23, 32, 9, 15
2020/1/26, 152, 21, 25, 8, 15
2020/1/27, 124, 26, 10, 10, 9
