year,month,city,station_name,station_lat,station_lon,pm25,pm10,o3,no2,so2,co
2016,10,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,16.129032258064516,17.032258064516128,4.857142857142857,3.3870967741935485,3.2666666666666666
2016,9,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,14.833333333333334,28.533333333333335,6.2,2.7333333333333334,2.533333333333333
2016,8,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,11.064516129032258,28.225806451612904,5.290322580645161,2.2580645161290325,1.6129032258064515
2016,7,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,14.32258064516129,29.225806451612904,4.32258064516129,1.5416666666666667,1.65
2016,6,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,15.833333333333334,34.36666666666667,5.3,1.125,1.6
2016,5,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,16.225806451612904,39.45161290322581,5.033333333333333,1.1666666666666667,1.4642857142857142
2016,4,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,16.866666666666667,34.1,6.8,2.2666666666666666,1.9666666666666666
2016,3,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,16.129032258064516,24.387096774193548,8.333333333333334,2.7096774193548385,3.032258064516129
2016,2,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,13.517241379310345,22.379310344827587,5.586206896551724,1.9310344827586208,2.5517241379310347
2016,1,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,10.071428571428571,17.75862068965517,8.482758620689655,3.6551724137931036,4.214285714285714
2015,12,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,6.766666666666667,20.620689655172413,5.931034482758621,2.0,2.2758620689655173
2015,11,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,7.8,18.166666666666668,5.466666666666667,2.466666666666667,2.2666666666666666
2015,10,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,11.653846153846153,22.192307692307693,6.6923076923076925,2.6538461538461537,2.4782608695652173
2015,9,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,6.566666666666666,24.566666666666666,5.689655172413793,1.4814814814814814,3.736842105263158
2015,8,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,17.161290322580644,36.03225806451613,4.903225806451613,1.5714285714285714,1.0
2015,7,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,14.290322580645162,31.0,3.4074074074074074,1.4838709677419355,1.25
2015,6,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,12.066666666666666,29.166666666666668,5.033333333333333,1.0740740740740742,2.037037037037037
2015,5,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,13.451612903225806,25.741935483870968,4.0,1.0,1.2592592592592593
2015,4,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,15.866666666666667,26.533333333333335,4.566666666666666,1.5,3.25
2015,3,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,19.096774193548388,19.892857142857142,6.516129032258065,1.6666666666666667,1.7741935483870968
2015,2,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,23.678571428571427,15.321428571428571,7.428571428571429,2.7142857142857144,3.6923076923076925
2015,1,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,17.322580645161292,14.741935483870968,6.0,3.096774193548387,2.3225806451612905
2014,12,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,17.25,13.071428571428571,5.357142857142857,3.25,1.9285714285714286
2014,11,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,30.6,4.433333333333334,6.9,2.2,3.033333333333333
