city,date,no_of_cars
Lublin,2021,33915
Lublin,2022,34705
Nowy Sącz,2015,3859
Nowy Sącz,2016,3889
Nowy Sącz,2017,3728
Nowy Sącz,2018,4022
Nowy Sącz,2019,3953
Nowy Sącz,2020,4061
Nowy Sącz,2021,4079
Nowy Sącz,2022,4132
Opole,2015,5812
Opole,2016,6071
Opole,2017,6270
Opole,2018,6763
Opole,2019,6968
Opole,2020,7353
Opole,2021,7479
Opole,2022,7680
Płock,2015,23405
Płock,2016,23378
Płock,2017,23238
Płock,2018,23967
Płock,2019,23927
Płock,2020,24032
Płock,2021,23907
Płock,2022,23879
Poznań,2015,20630
Poznań,2016,21531
Poznań,2017,21791
Poznań,2018,23847
Poznań,2019,24605
Poznań,2020,25560
Poznań,2021,26366
Poznań,2022,27133
Przemyśl,2015,4660
Przemyśl,2016,5391
Przemyśl,2017,6127
Przemyśl,2018,7010
Przemyśl,2019,6931
Przemyśl,2020,7136
Przemyśl,2021,7187
Przemyśl,2022,7310
Radom,2015,20325
Radom,2016,20911
Radom,2017,20289
Radom,2018,22025
Radom,2019,22039
Radom,2020,22404
Radom,2021,22436
Radom,2022,22613
Rybnik,2015,6623
Rybnik,2016,6912
Rybnik,2017,6864
Rybnik,2018,7495
Rybnik,2019,7497
Rybnik,2020,7482
Rybnik,2021,7332
Rybnik,2022,7491
Rzeszów,2015,12134
Rzeszów,2016,12838
Rzeszów,2017,12899
Rzeszów,2018,14374
Rzeszów,2019,14929
Rzeszów,2020,15556
Rzeszów,2021,16133
Rzeszów,2022,16768
Siedlce,2015,6485
Siedlce,2016,6574
Siedlce,2017,6422
Siedlce,2018,6877
Siedlce,2019,6808
Siedlce,2020,6916
Siedlce,2021,6846
Siedlce,2022,6856
Słupsk,2015,4988
Słupsk,2016,5248
Słupsk,2017,5273
Słupsk,2018,5689
Słupsk,2019,5734
Słupsk,2020,5853
Słupsk,2021,5911
Słupsk,2022,5927
Sopot,2015,19999
Sopot,2016,20765
Sopot,2017,20561
Sopot,2018,22383
Sopot,2019,22778
Sopot,2020,23682
Sopot,2021,24530
Sopot,2022,25523
Sosnowiec,2015,9446
Sosnowiec,2016,9811
Sosnowiec,2017,9737
Sosnowiec,2018,10506
Sosnowiec,2019,10467
Sosnowiec,2020,10688
Sosnowiec,2021,10735
Sosnowiec,2022,10673
Suwałki,2015,3932
Suwałki,2016,3936
Suwałki,2017,3718
Suwałki,2018,3945
Suwałki,2019,3918
Suwałki,2020,3963
Suwałki,2021,3994
Suwałki,2022,3982
Szczecin,2015,17037
Szczecin,2016,17662
Szczecin,2017,17574
Szczecin,2018,18896
Szczecin,2019,19059
Szczecin,2020,19414
Szczecin,2021,19663
Szczecin,2022,20021
Tarnów,2015,8526
Tarnów,2016,8667
Tarnów,2017,8464
Tarnów,2018,9115
